num_mutants_per_round,round_num,median_fitness_scaled_mean,median_fitness_scaled_std,top_fitness_scaled_mean,top_fitness_scaled_std,fitness_binary_percentage_mean,fitness_binary_percentage_std,dataset,label
16,1,0.053442179216476614,0.02815104574186159,0.4500477620902477,0.25001721716494796,0.24117647058823527,0.08964023098558793,cov2_S,esm2 650M
16,2,0.15551065719063814,0.10101044485170231,0.5371107263448007,0.2493240457144628,0.4882352941176471,0.1798157885193785,cov2_S,esm2 650M
16,3,0.2796568700184454,0.1285254499969898,0.5847991627087079,0.2470817734717312,0.7352941176470588,0.17372593281048376,cov2_S,esm2 650M
16,4,0.3221824832684899,0.1537772544352202,0.6159414017552358,0.21944239505325794,0.8882352941176471,0.16969565900720632,cov2_S,esm2 650M
16,5,0.32798519967562356,0.1614301249720049,0.6265092426112155,0.22319157718384133,0.9235294117647058,0.1754874575314859,cov2_S,esm2 650M
16,6,0.3704492123625771,0.12911991332505768,0.6362223004243013,0.21541850584808486,0.9764705882352942,0.0568289284164292,cov2_S,esm2 650M
16,7,0.415012150913675,0.10988865275369641,0.7138846572675176,0.2081300418242819,1.0,0.0,cov2_S,esm2 650M
16,8,0.4542414939445167,0.12397421206932874,0.8509446701822284,0.17065126943027845,1.0,0.0,cov2_S,esm2 650M
16,9,0.47648648776351055,0.10540871413207371,0.8509446701822284,0.17065126943027845,1.0,0.0,cov2_S,esm2 650M
16,10,0.48585936169323957,0.09061731302506444,0.8699479123580318,0.12553886271374531,1.0,0.0,cov2_S,esm2 650M
16,1,0.6496831546944345,0.05377272263230407,0.8175657353340334,0.07739410866911721,0.3941176470588235,0.2000576618146621,cas12f,esm2 650M
16,2,0.6682666779570636,0.051064862785231285,0.8272803342385417,0.07023675204749556,0.5176470588235295,0.27141108192938473,cas12f,esm2 650M
16,3,0.7086843128323035,0.05330494078051976,0.8274703255128861,0.06980554431406244,0.7235294117647059,0.22364977839386466,cas12f,esm2 650M
16,4,0.7281613080628477,0.04739982732330614,0.8339033301409053,0.05704549687172552,0.8352941176470587,0.1792804619711758,cas12f,esm2 650M
16,5,0.7494458473963126,0.05073755929659479,0.8472795780716857,0.059134717204717045,0.9294117647058823,0.11365785683285833,cas12f,esm2 650M
16,6,0.755598000883207,0.04794158054101558,0.864322117101447,0.04844867759274025,0.9705882352941178,0.09300816647554057,cas12f,esm2 650M
16,7,0.7670362059616579,0.03757688672685394,0.875277855566752,0.03825691934634576,0.9941176470588236,0.018601633295108166,cas12f,esm2 650M
16,8,0.7713526081851808,0.03495271788823688,0.875277855566752,0.03825691934634576,1.0,0.0,cas12f,esm2 650M
16,9,0.7750661675348827,0.033713754323377434,0.8908170535375179,0.04902753426924675,1.0,0.0,cas12f,esm2 650M
