num_mutants_per_round,round_num,median_fitness_scaled_mean,median_fitness_scaled_std,top_fitness_scaled_mean,top_fitness_scaled_std,fitness_binary_percentage_mean,fitness_binary_percentage_std,dataset,label
16,1,0.1727196442015482,0.10966649922279824,0.38893652518384486,0.14661594722362076,0.4588235294117647,0.2538439581597217,cov2_S,integer encoded
16,2,0.2012138218477159,0.10941652800481487,0.3963461282450639,0.14325950903412576,0.5647058823529412,0.30019857582752374,cov2_S,integer encoded
16,3,0.2176273359700711,0.09686053957984203,0.3966846041408142,0.1427418113027408,0.6352941176470588,0.29450954283166414,cov2_S,integer encoded
16,4,0.22185203104948012,0.09263248705043259,0.3976721619030983,0.14232643089868033,0.6882352941176471,0.2935288223499918,cov2_S,integer encoded
16,5,0.23096139347821731,0.0898084541503861,0.4091647799312722,0.14186324465872904,0.7117647058823529,0.27513933417507525,cov2_S,integer encoded
16,6,0.2384195415861301,0.08935967374962635,0.4333669582521015,0.11869150985117588,0.788235294117647,0.20034572195207526,cov2_S,integer encoded
16,7,0.2457253181609873,0.08450027162684376,0.44485957628027545,0.11421220146475171,0.8470588235294118,0.16912830315959074,cov2_S,integer encoded
16,8,0.25104222612546667,0.08327787370938383,0.45120009984762965,0.11135587492797616,0.8411764705882352,0.17766480455018496,cov2_S,integer encoded
16,9,0.25104222612546667,0.08327787370938383,0.45120009984762965,0.11135587492797616,0.8411764705882353,0.16649356639493157,cov2_S,integer encoded
16,10,0.25110949160658935,0.08328919643948397,0.45120009984762965,0.11135587492797616,0.8529411764705882,0.1714985851425088,cov2_S,integer encoded
16,1,0.6215955697004378,0.06722285474126591,0.7992077332208092,0.057174240976519616,0.38235294117647056,0.204241829960781,cas12f,integer encoded
16,2,0.6046851689728862,0.144591772950861,0.8137818972629081,0.044311933885105674,0.5470588235294118,0.29743230259194137,cas12f,integer encoded
16,3,0.7070831722093629,0.05176896695216667,0.8218791594934791,0.06051078072343633,0.7,0.2593132621664566,cas12f,integer encoded
16,4,0.632659438524587,0.14480034654773957,0.8247689540214068,0.061028523229660195,0.5823529411764705,0.3080990568551995,cas12f,integer encoded
16,5,0.6989483688070618,0.11757469027946738,0.8328246508570594,0.052391371854622386,0.7411764705882352,0.28033044706920024,cas12f,integer encoded
16,6,0.7355242274725926,0.040906338947497005,0.8328246508570594,0.052391371854622386,0.8352941176470587,0.15137458090681394,cas12f,integer encoded
16,7,0.6824051442485926,0.12462254010054297,0.8400148411378835,0.047035697847697296,0.7411764705882352,0.2719771119121522,cas12f,integer encoded
16,8,0.7451705340415363,0.03574602279776625,0.8569675305933254,0.04043207699333931,0.9176470588235294,0.09685560027630173,cas12f,integer encoded
16,9,0.7601955493071634,0.025043960389094514,0.8719311076057383,0.03454658422945844,0.9529411764705882,0.05405509314545187,cas12f,integer encoded
16,10,0.7632926848014818,0.02257569412168614,0.8719311076057383,0.03454658422945844,0.9470588235294117,0.06473558438909485,cas12f,integer encoded
16,1,0.014381307909440411,0.010185600444269778,0.2137789234576048,0.11890111899339201,0.08235294117647059,0.05682892841642916,zikv_E,integer encoded
16,2,0.0052530393568586305,0.0021870852556756214,0.240517724660723,0.11835803069822097,0.08823529411764705,0.05716619504750294,zikv_E,integer encoded
16,3,0.00345152614883699,0.0007526270572302707,0.2656276559122236,0.11045815644744628,0.12352941176470586,0.07568729045340698,zikv_E,integer encoded
16,4,0.00286496887452663,0.0008642910325593713,0.3104965279049243,0.03963873318657203,0.15294117647058822,0.0690463406339569,zikv_E,integer encoded
16,5,0.00876200139746371,0.01549470736397249,0.36516696926434,0.15203441601393775,0.1941176470588235,0.07362738570791603,zikv_E,integer encoded
16,6,0.00373448549380059,0.0013931137259240824,0.36516696926434,0.15203441601393775,0.18235294117647055,0.06473558438909481,zikv_E,integer encoded
16,7,0.04511491011436803,0.05524294844439202,0.6289248877137708,0.2596881675209056,0.32352941176470584,0.17372593281048382,zikv_E,integer encoded
16,8,0.018569916580294152,0.022336098400118347,0.48479152455925806,0.26563692233320957,0.27647058823529413,0.0834197936713045,zikv_E,integer encoded
16,9,0.04468114135859459,0.04075819331750026,0.5515984699921815,0.3041396582124705,0.34117647058823525,0.10667820006851327,zikv_E,integer encoded
16,10,0.06584157952320611,0.05346771239481206,0.6830602317725571,0.27053594864960673,0.4588235294117647,0.14084929408680763,zikv_E,integer encoded
16,1,0.9019801980198018,0.01027031241154989,0.9302835839383938,0.019118091871257795,0.5588235294117647,0.1885821966830524,kelsic,integer encoded
16,2,0.9026402640264024,0.009743549875750953,0.9390783523285663,0.027987340383587554,0.6647058823529411,0.15698524628429877,kelsic,integer encoded
16,3,0.9122112211221122,0.009254868811772612,0.9431609827649432,0.027235402304557777,0.8411764705882353,0.16878697424829286,kelsic,integer encoded
16,4,0.9136046938027136,0.008650106039178092,0.9362547365603227,0.018404505672925026,0.9235294117647058,0.12102979891773308,kelsic,integer encoded
16,5,0.9174061850385037,0.009371272062382415,0.9407285172717271,0.01896385128486667,0.9352941176470587,0.10899562438970428,kelsic,integer encoded
16,6,0.9177545532086542,0.009548556365170977,0.9470724850018335,0.019752370383715242,0.9411764705882353,0.11091871077436037,kelsic,integer encoded
16,7,0.9203398117345067,0.009371272084703591,0.9528663977264393,0.026402527117243012,0.9529411764705882,0.08680762204383789,kelsic,integer encoded
16,8,0.9213299107444076,0.010370808176559094,0.9492727050238358,0.02169813484601638,0.9588235294117646,0.07362738570791608,kelsic,integer encoded
16,9,0.9236707004033736,0.009483413741013795,0.95999266593326,0.024532578098327075,0.9529411764705882,0.054055093145451864,kelsic,integer encoded
