num_mutants_per_round,round_num,median_fitness_scaled_mean,median_fitness_scaled_std,top_fitness_scaled_mean,top_fitness_scaled_std,fitness_binary_percentage_mean,fitness_binary_percentage_std,dataset,label
16,1,0.11476415958220157,0.05619068137762172,0.3953275783482924,0.13779236046534035,0.3705882352941176,0.181941344465287,cov2_S,ankh base
16,2,0.23492833151263262,0.06922628208698582,0.44111353326597474,0.16754985124597116,0.6705882352941176,0.2186955842133127,cov2_S,ankh base
16,3,0.27861519349788383,0.09548782066731139,0.46090065006075864,0.1464347997155186,0.8823529411764707,0.1941077438551307,cov2_S,ankh base
16,4,0.31269411810192277,0.1124479591891272,0.5568490045933081,0.2079382349462262,0.9058823529411765,0.16912830315959076,cov2_S,ankh base
16,5,0.34424614451990015,0.1027363149132454,0.6116086777007913,0.21234601005108855,0.9647058823529411,0.0928012514996018,cov2_S,ankh base
16,6,0.375370305368836,0.13433883341048658,0.6605337495080436,0.19197956118068782,0.9705882352941178,0.09300816647554054,cov2_S,ankh base
16,7,0.39211110727238363,0.12650139482385597,0.8002477853539707,0.19338932784676466,0.9823529411764707,0.055804899885324395,cov2_S,ankh base
16,8,0.44275444293681154,0.10464687846011117,0.9246353089578376,0.1313149003327474,0.9823529411764707,0.055804899885324395,cov2_S,ankh base
16,9,0.4786680963323465,0.1001974623728035,0.957764501906699,0.09683782460451802,1.0,0.0,cov2_S,ankh base
16,10,0.5024769649527208,0.09285160685191426,0.9708061793527353,0.09231896684780756,1.0,0.0,cov2_S,ankh base
16,1,0.6424714465303808,0.03969323794345165,0.8125920257482135,0.06515963344936752,0.41764705882352937,0.15796183577351244,cas12f,ankh base
16,2,0.6961367220077379,0.037081347550615866,0.8350370142019455,0.05314236731622763,0.6176470588235293,0.15251322731474554,cas12f,ankh base
16,3,0.7181043265923561,0.030959145148065487,0.8616009623650568,0.041157422447638134,0.8411764705882352,0.121029798917733,cas12f,ankh base
16,4,0.7336474873423003,0.03549183681333746,0.8751083932150479,0.03071586043430557,0.9470588235294117,0.07042464704340382,cas12f,ankh base
16,5,0.7546143286277591,0.021636809570599543,0.882909291958725,0.029539597147356593,0.9882352941176471,0.02480217772681088,cas12f,ankh base
16,6,0.7624537761443445,0.017667984895869612,0.882909291958725,0.029539597147356593,1.0,0.0,cas12f,ankh base
16,7,0.7687302017202855,0.015584777208660068,0.8840424529590514,0.02766185745759716,1.0,0.0,cas12f,ankh base
