,num_mutants_per_round,round_num,spearman_corr_mean,spearman_corr_std,dataset
5,16,6,0.2907834239418793,0.03788267986573187,giacomelli
6,16,7,0.2955924862306116,0.03727764082386166,giacomelli
7,16,8,0.2928462038665526,0.03466985253023764,giacomelli
8,16,9,0.3033697155422975,0.03852396056431055,giacomelli
9,16,10,0.3148129096597939,0.042513425089472284,giacomelli
0,16,1,0.0946307893974109,0.06859807317972619,jones
1,16,2,0.12508232665765215,0.08904950977306106,jones
2,16,3,0.09454719560146856,0.07688243621353405,jones
3,16,4,0.10008072328560332,0.08797191794593572,jones
4,16,5,0.11263828982235591,0.054992708685158605,jones
5,16,6,0.1044667448314212,0.06860208816225037,jones
6,16,7,0.09576585543032937,0.10175240766799908,jones
7,16,8,0.13151571287324157,0.07606769957828868,jones
8,16,9,0.12723932635425986,0.06220636054269237,jones
9,16,10,0.12803869489013175,0.06859231107282833,jones
0,16,1,-0.050301028249129257,0.09308118978803852,haddox
1,16,2,-0.006792224873408541,0.09365484248307515,haddox
2,16,3,-0.020651441586497128,0.04657800831229832,haddox
3,16,4,-0.011977135851922132,0.07195945924631797,haddox
4,16,5,0.014330487615649751,0.06009138707390239,haddox
5,16,6,0.0050794946366427285,0.07543979766885565,haddox
6,16,7,0.05301436753483624,0.05826665479332616,haddox
7,16,8,0.04532019495270924,0.07178820689443156,haddox
8,16,9,0.059868618039930946,0.08528116918499756,haddox
9,16,10,0.04308983742984634,0.07741533085064009,haddox
0,16,1,0.08368196493342697,0.05580057915517935,doud
1,16,2,0.08294791979633999,0.06940568705830484,doud
2,16,3,0.09371557193053812,0.03993145726936014,doud
3,16,4,0.1020409536677368,0.047408930148321496,doud
4,16,5,0.11150949964556807,0.059179683041024014,doud
5,16,6,0.11084648078096113,0.04490981569787863,doud
6,16,7,0.12303695877700574,0.0408229333840857,doud
7,16,8,0.12241547078326795,0.057244639333893385,doud
8,16,9,0.12909487973689274,0.0471277246454851,doud
9,16,10,0.11880723906953909,0.032416103198611865,doud
0,16,1,0.05123796979064009,0.07687424302034854,lee
1,16,2,0.03381431968222201,0.048809263805892504,lee
2,16,3,0.017352576253371534,0.05670816286889006,lee
3,16,4,0.001191251728404829,0.03949612550853618,lee
4,16,5,0.006584518816749141,0.054618872772932314,lee
5,16,6,0.02182696581681596,0.04698743819736557,lee
6,16,7,0.035351728764503286,0.04472152841132234,lee
7,16,8,0.04681474094449532,0.04195537432881878,lee
8,16,9,0.04186417974455911,0.053121313311142025,lee
9,16,10,0.054071064776400425,0.04709678691971146,lee
