,num_mutants_per_round,round_num,median_fitness_scaled_mean,median_fitness_scaled_std,top_fitness_scaled_mean,top_fitness_scaled_std,fitness_binary_percentage_mean,fitness_binary_percentage_std,dataset
50,100,1,0.7103803606119333,0.029357998846133562,0.7935856661105243,0.05724569299806604,0.823529411764706,0.11764705882352933,cas12f
51,100,2,0.7770122435260064,0.020486670441234863,0.8439413905888363,0.004696479171785301,1.0,0.0,cas12f
52,100,3,0.8046309826913123,0.009084045461806904,0.8704217821758563,0.02657562879370934,1.0,0.0,cas12f
53,100,4,0.8079820544531086,0.012302979207307456,0.914122221229019,0.02959185408836185,1.0,0.0,cas12f
54,100,5,0.8323848728629343,0.01810486759605008,0.9361613467270917,0.031719906539146296,1.0,0.0,cas12f
55,100,6,0.8414138402122825,0.007095390356917501,0.9596827103911689,0.011337945426971517,1.0,0.0,cas12f
56,100,7,0.8624587869482337,0.023114292510909306,0.968490049584982,0.0255759404263326,1.0,0.0,cas12f
57,100,8,0.8717101839821476,0.021710462824662973,0.968490049584982,0.0255759404263326,1.0,0.0,cas12f
58,100,9,0.8873157289701745,0.00782015523244914,0.9760433591469959,0.019063360524129137,1.0,0.0,cas12f
59,100,10,0.894469453670642,0.005538629661393615,0.9855626329835149,0.021247329181952268,1.0,0.0,cas12f
60,200,1,0.7383797467649282,0.011069722817506076,0.8477557225918981,0.025720389951747295,0.9803921568627451,0.03396178054056629,cas12f
61,200,2,0.81953717433126,0.021678681795861292,0.8753836672887649,0.036341387633300325,1.0,0.0,cas12f
62,200,3,0.8378931261770779,0.024718246617906385,0.894558607619623,0.03186808189968284,1.0,0.0,cas12f
63,200,4,0.8520207254567213,0.02000441714511006,0.9373665791032618,0.012783360749527416,1.0,0.0,cas12f
64,200,5,0.873827776011438,0.013268459166826937,0.9654047837533112,0.02996033611904862,1.0,0.0,cas12f
65,200,6,0.8981061695278548,0.015514492762931098,0.9857876577083263,0.022226686004745762,1.0,0.0,cas12f
66,200,7,0.9053438098449403,0.013606010396161945,0.9857876577083263,0.022226686004745762,1.0,0.0,cas12f
67,200,8,0.9153797029041799,0.008187030580033502,0.9857876577083263,0.022226686004745762,1.0,0.0,cas12f
68,200,9,0.9239132892592868,0.016349551816984113,0.9893187420711521,0.01612754496119596,1.0,0.0,cas12f
69,200,10,0.9360259321675223,0.011552581562495908,0.9990630406324824,0.0016228612291678685,1.0,0.0,cas12f
70,500,1,0.7884247632974516,0.01807998353127267,0.8999521113099926,0.009573216527350152,1.0,0.0,cas12f
71,500,2,0.8679228420411017,0.006492177877803712,0.9313973043033209,0.014472355406268777,1.0,0.0,cas12f
72,500,3,0.9082615025448765,0.0042492357150161605,0.9733511351001335,0.022656759210584538,1.0,0.0,cas12f
73,500,4,0.9254011977193622,0.014263254765755247,0.998126081264965,0.0016228612291678685,1.0,0.0,cas12f
74,500,5,0.9229807054053533,0.0002136077107272057,0.9989729873983926,0.0008894190029988887,1.0,0.0,cas12f
75,500,6,0.9407652033358866,0.0,0.9989729873983926,0.0008894190029988566,1.0,0.0,cas12f
76,500,7,0.9347270362640625,0.01132771576123625,1.0,0.0,1.0,0.0,cas12f
77,500,8,0.9436290997728336,0.001430872213747025,0.9994864936991963,0.0008894190029988006,1.0,0.0,cas12f
78,500,9,0.9362325255373117,0.011393399046782283,1.0,0.0,1.0,0.0,cas12f
79,500,10,0.9420784738679632,0.0020621035767429455,1.0,0.0,1.0,0.0,cas12f
0,10,1,0.028417793651534868,0.019303834648979345,0.17375020512967923,0.05904256737893475,0.1176470588235294,0.0,zikv_E
1,10,2,0.04451385456790143,0.02340529451435123,0.2861096446317402,0.16941371122482163,0.15686274509803919,0.06792356108113244,zikv_E
2,10,3,0.03260453228124086,0.042215315597846526,0.2526765174629644,0.009415098168244661,0.17647058823529407,0.0588235294117647,zikv_E
3,10,4,0.061921925306992094,0.04388314884381968,0.2526765174629644,0.009415098168244661,0.17647058823529407,0.0588235294117647,zikv_E
4,10,5,0.06080622609215863,0.04688421466100822,0.42028906560179763,0.29513365206225767,0.196078431372549,0.06792356108113243,zikv_E
5,10,6,0.0454237980673941,0.04145651468734202,0.42028906560179763,0.29513365206225767,0.2352941176470588,0.05882352941176469,zikv_E
6,10,7,0.0497820837758865,0.03760651670689261,0.42028906560179763,0.29513365206225767,0.2745098039215686,0.08985442539129099,zikv_E
7,10,8,0.05361170119747886,0.04316675779733329,0.42028906560179763,0.29513365206225767,0.3333333333333333,0.06792356108113247,zikv_E
8,10,9,0.08967400366604704,0.030273355091651265,0.42028906560179763,0.29513365206225767,0.35294117647058815,0.05882352941176472,zikv_E
9,10,10,0.10831042400965578,0.010791775573152857,0.5879016137406308,0.2997285475307879,0.392156862745098,0.06792356108113243,zikv_E
10,20,1,0.0123131064261571,0.0035291065781013205,0.2173385432659387,0.0666921985562389,0.1176470588235294,0.0588235294117647,zikv_E
11,20,2,0.030655493980005038,0.025767568409432454,0.32770638825200055,0.126501559790063,0.15686274509803919,0.03396178054056623,zikv_E
12,20,3,0.0249621717863753,0.018076408486584265,0.4048626224316538,0.11823024857323663,0.196078431372549,0.08985442539129097,zikv_E
13,20,4,0.040618345493263965,0.02394688447827482,0.4048626224316538,0.11823024857323663,0.2549019607843137,0.06792356108113243,zikv_E
14,20,5,0.07161574433848253,0.01887847656765112,0.4048626224316538,0.11823024857323663,0.31372549019607837,0.08985442539129097,zikv_E
15,20,6,0.0981180918707209,0.02238662765480486,0.4048626224316538,0.11823024857323663,0.35294117647058815,0.155632430062623,zikv_E
16,20,7,0.12187124096253904,0.014331838425147177,0.47201573846084427,0.20304752755275074,0.4901960784313726,0.06792356108113247,zikv_E
17,20,8,0.12552384399094615,0.020106338923391955,0.47201573846084427,0.20304752755275074,0.5490196078431372,0.14803596931903432,zikv_E
18,20,9,0.13154512551702197,0.014695513517687081,0.47201573846084427,0.20304752755275074,0.5686274509803921,0.08985442539129104,zikv_E
19,20,10,0.14345614937625106,0.003363488604334338,0.6915220997007537,0.058593290064497934,0.6862745098039217,0.033961780540566235,zikv_E
20,30,1,0.0202070347646141,0.012861137115447284,0.177786279259624,0.05376623222294945,0.0980392156862745,0.03396178054056622,zikv_E
21,30,2,0.04874447963283204,0.0353016103373568,0.36953241805490383,0.27696522621159625,0.2156862745098039,0.0339617805405662,zikv_E
