num_mutants_per_round,round_num,median_fitness_scaled_mean,median_fitness_scaled_std,top_fitness_scaled_mean,top_fitness_scaled_std,fitness_binary_percentage_mean,fitness_binary_percentage_std,dataset,label
16,1,0.6148053539332493,0.04865274967967757,0.8131449927648164,0.06255751843616117,0.3411764705882353,0.12338927625531196,cas12f,esm1b 650M
16,2,0.6615347613597162,0.03866061138110494,0.8359837269685606,0.049653718090294736,0.5117647058823529,0.1594155029347282,cas12f,esm1b 650M
16,3,0.6928787733312796,0.03625487839434009,0.8505298450180889,0.05528321495540431,0.7176470588235293,0.1995766376470505,cas12f,esm1b 650M
16,4,0.7060440331321017,0.039083958020645876,0.8505298450180889,0.05528321495540431,0.8058823529411765,0.16180926302570786,cas12f,esm1b 650M
16,5,0.7340854669909558,0.0483014347373937,0.8702373154617578,0.045798357085190894,0.9352941176470588,0.10540925533894602,cas12f,esm1b 650M
16,6,0.7472902586342927,0.04541532011526115,0.8828328752126522,0.03858121196810292,0.9411764705882353,0.09998077477632915,cas12f,esm1b 650M
16,7,0.7584591998399087,0.043148785755702405,0.9097084580229348,0.05070769046452486,0.9647058823529411,0.09280125149960182,cas12f,esm1b 650M
16,8,0.7665956234138174,0.036148939467766227,0.9214585606279998,0.04665057714535775,0.9823529411764707,0.028414464208214682,cas12f,esm1b 650M
16,9,0.776035946586692,0.028708701664255182,0.9298589992684951,0.04896713076986056,1.0,0.0,cas12f,esm1b 650M
16,10,0.7909253767974287,0.03333084764481031,0.9310355999026049,0.04713771056698896,1.0,0.0,cas12f,esm1b 650M
16,1,0.01612780543554253,0.014294402861760508,0.23196258218755195,0.08635630023330855,0.1176470588235294,0.07843137254901959,zikv_E,esm1b 650M
16,2,0.02590578677201331,0.030403782044463742,0.2503524301110245,0.08182266781754328,0.15294117647058822,0.10811018629090369,zikv_E,esm1b 650M
16,3,0.05153329554465201,0.03516840344464895,0.26318994785208866,0.06729751879573405,0.18235294117647055,0.10540925533894596,zikv_E,esm1b 650M
16,4,0.07687680771112623,0.02456375978374567,0.28786443444223764,0.060463192984182346,0.2176470588235294,0.1241658054822554,zikv_E,esm1b 650M
16,5,0.0945037871243248,0.020557257914566956,0.29390578844675125,0.06368769080940173,0.2823529411764706,0.1408492940868076,zikv_E,esm1b 650M
16,6,0.08924882545352679,0.028067341898267095,0.3209809571912562,0.11173003790047258,0.30588235294117644,0.1538934656497928,zikv_E,esm1b 650M
16,7,0.10488503320561371,0.022310752219710815,0.3209809571912562,0.11173003790047258,0.34705882352941175,0.1555088632070459,zikv_E,esm1b 650M
16,8,0.11626486674887675,0.032023672178519785,0.361282712183301,0.1437037784081593,0.4352941176470588,0.19841742181448657,zikv_E,esm1b 650M
16,9,0.11380442713936209,0.043776126552232245,0.4196505191322862,0.17409203583723318,0.4588235294117647,0.18351935618506027,zikv_E,esm1b 650M
